Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2023-11-20 21:44:11,2023-11-21 23:18:55,UTC-05:00,2023-11-21 16:19:51,2023-11-21 19:08:40,168,Box Fitness,12.5,526.0,175,115,39,27,15,8,0,false,8132.67,50.25,11.84
2023-11-16 23:51:30,2023-11-17 22:57:42,UTC-05:00,2023-11-17 16:03:00,2023-11-17 17:31:29,88,Functional Fitness,9.2,298.0,166,120,24,52,20,3,0,false,,,
2023-11-16 02:04:07,2023-11-16 23:51:30,UTC-05:00,2023-11-16 17:02:40,2023-11-16 17:34:48,32,Running,9.0,168.0,182,132,19,31,11,33,6,true,3659.92,112.67,-15.06
2023-11-14 21:53:10,2023-11-16 02:04:07,UTC-05:00,2023-11-15 17:01:00,2023-11-15 18:07:45,66,Box Fitness,12.5,333.0,191,129,17,33,17,16,9,false,,,
2023-11-13 21:19:56,2023-11-14 21:53:10,UTC-05:00,2023-11-14 16:57:01,2023-11-14 18:08:52,71,Box Fitness,12.0,366.0,183,131,12,32,36,14,4,false,419.44,61.73,0.85
2023-11-11 23:28:12,2023-11-12 22:00:45,UTC-05:00,2023-11-12 16:02:49,2023-11-12 16:51:30,48,Running,12.7,362.0,174,146,9,1,26,64,0,true,6998.89,147.20,-19.67
2023-11-09 23:36:45,2023-11-10 23:45:28,UTC-05:00,2023-11-10 16:58:25,2023-11-10 19:31:44,153,Box Fitness,12.2,537.0,168,118,29,38,24,4,0,false,,,
2023-11-09 00:24:18,2023-11-09 23:36:45,UTC-05:00,2023-11-09 16:56:39,2023-11-09 18:07:51,71,Box Fitness,10.0,259.0,176,116,33,18,11,21,0,false,134.21,5.32,-3.29
2023-11-07 22:55:42,2023-11-09 00:24:18,UTC-05:00,2023-11-08 19:09:00,2023-11-08 20:01:29,52,Box Fitness,13.1,335.0,189,139,3,32,38,8,19,false,,,
2023-11-06 22:00:23,2023-11-07 22:55:42,UTC-05:00,2023-11-07 17:16:30,2023-11-07 18:20:59,64,Gymnastics,7.0,177.0,154,113,43,39,16,0,0,false,,,
2023-11-04 01:57:15,2023-11-04 21:36:46,UTC-04:00,2023-11-04 15:54:27,2023-11-04 17:41:49,107,Running,18.8,927.0,185,154,8,7,9,43,33,true,14876.61,286.07,-8.71
2023-11-02 23:22:51,2023-11-04 01:57:15,UTC-04:00,2023-11-03 17:08:53,2023-11-03 17:36:09,27,Weightlifting,5.1,74.0,148,114,29,67,4,0,0,false,,,
2023-11-02 00:00:35,2023-11-02 23:22:51,UTC-04:00,2023-11-02 17:52:21,2023-11-02 19:03:47,71,Box Fitness,11.8,305.0,176,121,37,13,8,27,1,false,,,
2023-10-31 23:00:44,2023-11-02 00:00:35,UTC-04:00,2023-11-01 18:51:51,2023-11-01 20:10:16,78,Box Fitness,7.8,230.0,151,113,43,38,14,0,0,false,,,
2023-10-31 00:48:38,2023-10-31 23:00:44,UTC-04:00,2023-10-31 11:25:30,2023-10-31 12:54:35,89,Hiking/Rucking,6.7,192.0,146,104,45,31,5,0,0,true,4802.03,406.92,-1.41
2023-10-26 00:08:49,2023-10-27 02:02:00,UTC-04:00,2023-10-26 16:54:06,2023-10-26 18:05:03,70,Box Fitness,10.1,299.0,164,121,23,21,30,15,0,false,,,
2023-10-24 23:05:43,2023-10-26 00:08:49,UTC-04:00,2023-10-25 18:57:38,2023-10-25 20:14:01,76,Box Fitness,13.3,376.0,188,126,20,35,17,7,14,false,,,
2023-10-23 21:51:45,2023-10-24 23:05:43,UTC-04:00,2023-10-24 17:58:03,2023-10-24 19:02:25,64,Box Fitness,10.0,320.0,172,124,14,46,34,3,0,false,283.09,32.94,-6.61
